,title,movieId,user_id
0,Mulholland Falls (1996),707,1
1,Austin Powers: The Spy Who Shagged Me (1999),2683,1
2,28 Weeks Later (2007),53000,1
3,Harry Potter and the Order of the Phoenix (2007),54001,1
4,(500) Days of Summer (2009),69757,1
5,"Natural, The (1984)",3098,1
6,"Honey, I Shrunk the Kids (1989)",2054,1
7,Maverick (1994),368,1
8,Lady and the Tramp (1955),2080,1
9,Road Trip (2000),3617,1
10,Rudy (1993),524,1
0,E.T. the Extra-Terrestrial (1982),1097,2
1,Adaptation (2002),5902,2
2,Inside Out (2015),134853,2
3,Dumb & Dumber (Dumb and Dumber) (1994),231,2
4,Philadelphia (1993),508,2
5,Schindler's List (1993),527,2
6,"Streetcar Named Desire, A (1951)",1104,2
7,Junior (1994),256,2
8,Constantine (2005),31696,2
9,Mission: Impossible (1996),648,2
10,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),4896,2
0,"Graduate, The (1967)",1247,3
1,Apollo 13 (1995),150,3
2,"Wizard of Oz, The (1939)",919,3
3,Insomnia (2002),5388,3
4,"Silence of the Lambs, The (1991)",593,3
5,Gosford Park (2001),5013,3
6,"Whole Nine Yards, The (2000)",3301,3
7,Amadeus (1984),1225,3
8,Miller's Crossing (1990),1245,3
9,Bad Santa (2003),6957,3
10,Back to the Future Part II (1989),2011,3
0,Fast Times at Ridgemont High (1982),3210,4
1,Children of Men (2006),48774,4
2,Clerks (1994),223,4
3,Twilight (2008),63992,4
4,Die Hard (1988),1036,4
5,Star Wars: Episode III - Revenge of the Sith (2005),33493,4
6,Into the Wild (2007),55247,4
7,Entrapment (1999),2605,4
8,"Avengers, The (2012)",89745,4
9,From Russia with Love (1963),2948,4
10,Spider-Man (2002),5349,4
